Id,ACTION
1,0.25
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.9375
9,0.9375
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9375
15,0.9375
16,1.0
17,0.9375
18,1.0
19,1.0
20,0.9375
21,1.0
22,0.9375
23,0.9375
24,1.0
25,1.0
26,0.875
27,1.0
28,0.75
29,1.0
30,1.0
31,1.0
32,1.0
33,0.625
34,1.0
35,1.0
36,1.0
37,1.0
38,0.9375
39,0.9375
40,0.9375
41,0.9375
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.9375
52,1.0
53,1.0
54,1.0
55,1.0
56,0.9375
57,0.9375
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,0.6875
64,1.0
65,1.0
66,1.0
67,0.6875
68,1.0
69,0.9375
70,0.6875
71,1.0
72,0.8125
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,0.625
79,0.75
80,0.9375
81,1.0
82,1.0
83,1.0
84,0.9375
85,1.0
86,1.0
87,1.0
88,0.9375
89,1.0
90,0.8125
91,0.9375
92,0.8125
93,1.0
94,0.8125
95,1.0
96,1.0
97,0.8125
98,1.0
99,0.9375
100,1.0
101,0.9375
102,0.9375
103,1.0
104,1.0
105,0.8125
106,1.0
107,1.0
108,0.9375
109,1.0
110,1.0
111,0.625
112,1.0
113,0.9375
114,0.9375
115,0.9375
116,1.0
117,1.0
118,1.0
119,1.0
120,0.9375
121,0.9375
122,1.0
123,1.0
124,1.0
125,1.0
126,0.9375
127,1.0
128,0.9375
129,0.75
130,1.0
131,1.0
132,0.9375
133,1.0
134,0.9375
135,1.0
136,0.875
137,1.0
138,0.9375
139,0.6875
140,1.0
141,1.0
142,0.9375
143,1.0
144,1.0
145,1.0
146,0.9375
147,1.0
148,0.9375
149,1.0
150,1.0
151,1.0
152,0.875
153,1.0
154,0.8125
155,1.0
156,0.9375
157,0.9375
158,0.9375
159,0.6875
160,1.0
161,0.8125
162,0.9375
163,1.0
164,0.9375
165,1.0
166,1.0
167,1.0
168,0.9375
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,0.9375
177,0.9375
178,1.0
179,1.0
180,1.0
181,0.8125
182,1.0
183,0.9375
184,0.8125
185,1.0
186,0.9375
187,0.9375
188,1.0
189,0.625
190,0.9375
191,1.0
192,0.9375
193,1.0
194,1.0
195,0.875
196,1.0
197,0.9375
198,1.0
199,0.9375
200,0.5625
201,1.0
202,0.9375
203,1.0
204,0.875
205,0.6875
206,0.8125
207,1.0
208,1.0
209,0.8125
210,0.9375
211,1.0
212,0.8125
213,0.9375
214,1.0
215,1.0
216,0.875
217,1.0
218,0.9375
219,0.9375
220,1.0
221,0.9375
222,1.0
223,1.0
224,0.9375
225,1.0
226,0.5625
227,0.875
228,1.0
229,1.0
230,1.0
231,0.9375
232,0.9375
233,0.875
234,0.625
235,1.0
236,0.9375
237,1.0
238,1.0
239,0.9375
240,1.0
241,1.0
242,0.9375
243,0.6875
244,0.8125
245,0.9375
246,1.0
247,0.9375
248,1.0
249,1.0
250,1.0
251,0.9375
252,0.875
253,1.0
254,1.0
255,1.0
256,0.9375
257,1.0
258,0.625
259,1.0
260,1.0
261,1.0
262,1.0
263,0.9375
264,1.0
265,1.0
266,1.0
267,1.0
268,0.9375
269,1.0
270,1.0
271,0.875
272,0.875
273,1.0
274,0.9375
275,0.9375
276,0.9375
277,0.9375
278,1.0
279,1.0
280,0.9375
281,1.0
282,1.0
283,0.875
284,1.0
285,1.0
286,0.6875
287,1.0
288,1.0
289,1.0
290,1.0
291,0.75
292,0.9375
293,1.0
294,1.0
295,1.0
296,0.5625
297,0.8125
298,0.9375
299,0.5625
300,1.0
301,0.9375
302,1.0
303,0.875
304,0.9375
305,1.0
306,1.0
307,1.0
308,0.9375
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,0.9375
318,1.0
319,1.0
320,1.0
321,1.0
322,0.6875
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,0.9375
337,1.0
338,1.0
339,0.9375
340,1.0
341,0.9375
342,1.0
343,0.75
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
